hsv_v_min,session,no_target,frames,detected_frames,detection_rate,median_area_px,median_fill_ratio,median_solidity,measurement_acceptance_rate,track_available_rate,stable_inlier_acceptance_rate,outlier_rejection_rate,max_abs_vz_mps,occlusion_events,events_track_expired,events_reacquired,decision
10,x0.0mz1.3m_syahei_20260825_132301_275,0,657,603,0.9178082191780822,2506.5,0.6371527777777778,0.8428642466434609,0.7014925373134329,0.665144596651446,0.9973890339425587,1.0,0.06195250153541565,2,2,2,PASS
10,x0.4mz1.0m_1_20260825_132647_844,0,587,587,1.0,2518.0,0.6634716386554622,0.86630005155525,0.9982964224872232,0.9982964224872232,0.9982964224872232,nan,0.08124800771474838,0,0,0,PASS
10,x0.4mz1.0m_2_20260825_132716_503,0,556,556,1.0,2511.75,0.6688502673796791,0.8701072180357234,0.9982014388489209,0.9982014388489209,0.9982014388489209,nan,0.07069841027259827,0,0,0,PASS
10,x0.4mz1.0m_3_20260825_132744_034,0,573,573,1.0,2503.0,0.6804193899782135,0.8806525979783649,0.9982547993019197,0.9982547993019197,0.9982547993019197,nan,0.0448814257979393,0,0,0,PASS
10,x0.4mz1.0m_4_20260825_141730_883,0,328,328,1.0,2541.0,0.7517006802721088,0.9237541471743321,0.9969512195121951,0.9969512195121951,0.9969512195121951,nan,0.04223974794149399,0,0,0,PASS
20,hakonasi_20260825_131458_522,1,853,853,1.0,1608.5,0.5521110372340425,0.7954945054945055,0.0,0.0,0.0,1.0,nan,0,0,0,FAIL
20,x-0.4mz1.0m_1_20260825_132457_315,0,590,590,1.0,2557.0,0.7507352941176471,0.928344930141124,0.9983050847457627,0.9983050847457627,0.9983050847457627,nan,0.08164405077695847,0,0,0,PASS
20,x-0.4mz1.0m_2_20260825_132526_688,0,628,628,1.0,2556.0,0.7516176470588235,0.9293508061535836,0.9984076433121019,0.9984076433121019,0.9984076433121019,nan,0.07207049429416656,0,0,0,PASS
20,x-0.4mz1.0m_3_20260825_132558_373,0,585,585,1.0,2552.5,0.7507352941176471,0.9289844597036502,0.9982905982905983,0.9982905982905983,0.9982905982905983,nan,0.059050045907497406,0,0,0,PASS
20,x-0.4mz1.0m_4_20260825_141800_161,0,345,345,1.0,2576.5,0.7626441881100267,0.935254422761262,0.9971014492753624,0.9971014492753624,0.9971014492753624,nan,0.04649228975176811,0,0,0,PASS
20,x0.0mz0.8m_4_20260825_141625_493,0,382,382,1.0,5112.0,0.7410727246334736,0.893994859420633,0.9973821989528796,0.9973821989528796,0.9973821989528796,nan,0.037483781576156616,0,0,0,PASS
20,x0.0mz0.8m_4_kyuubasyo_20260825_141945_844,0,313,313,1.0,5233.5,0.7381289865343728,0.8909324208725407,0.9968051118210862,0.9968051118210862,0.9968051118210862,nan,0.017741447314620018,0,0,0,PASS
20,x0.0mz0.8m_syahei_20260825_132109_556,0,767,767,1.0,5122.5,0.7530120481927711,0.888085069293123,0.7535853976531942,0.7757496740547588,0.9945945945945946,1.0,0.0353892557322979,2,2,2,PASS
20,x0.0mz1.0m_20260825_131915_200,0,530,530,1.0,3783.75,0.6539117440225035,0.8465323571655842,0.9981132075471698,0.9981132075471698,0.9981132075471698,nan,0.06311754882335663,0,0,0,PASS
20,x0.0mz1.0m_syahei_20260825_132000_690,0,655,655,1.0,3612.0,0.693302891933029,0.8562281722933643,0.6778625954198473,0.7022900763358778,0.9974747474747475,1.0,0.08331616967916489,2,2,2,PASS
20,x0.0mz1.3m_syahei_20260825_132301_275,0,657,593,0.9025875190258752,2405.5,0.6991525423728814,0.8868828297715549,0.7116357504215851,0.6636225266362252,0.9973890339425587,1.0,0.08239516615867615,2,2,2,PASS
20,x0.4mz1.0m_1_20260825_132647_844,0,587,587,1.0,2375.0,0.7781045751633987,0.9280190362879238,0.9982964224872232,0.9982964224872232,0.9982964224872232,nan,0.16750232875347137,0,0,0,PASS
20,x0.4mz1.0m_2_20260825_132716_503,0,556,556,1.0,2378.0,0.7797531948102624,0.9299510807542428,0.9982014388489209,0.9982014388489209,0.9982014388489209,nan,0.20253752171993256,0,0,0,PASS
20,x0.4mz1.0m_3_20260825_132744_034,0,573,573,1.0,2370.0,0.7804996755353667,0.929472025216706,0.9982547993019197,0.9982547993019197,0.9982547993019197,nan,0.18119381368160248,0,0,0,PASS
20,x0.4mz1.0m_4_20260825_141730_883,0,328,328,1.0,2501.0,0.7844180225281602,0.9402435546632711,0.9969512195121951,0.9969512195121951,0.9969512195121951,nan,0.08550379425287247,0,0,0,PASS
25,hakonasi_20260825_131458_522,1,853,853,1.0,1605.5,0.5571180555555556,0.7963031881900509,0.0,0.0,0.0,nan,nan,0,0,0,FAIL
25,x-0.4mz1.0m_1_20260825_132457_315,0,590,590,1.0,2405.5,0.7173529411764706,0.911569540428643,0.9983050847457627,0.9983050847457627,0.9983050847457627,nan,0.04073360189795494,0,0,0,PASS
25,x-0.4mz1.0m_2_20260825_132526_688,0,628,628,1.0,2400.5,0.7167164179104477,0.9125400192410015,0.9984076433121019,0.9984076433121019,0.9984076433121019,nan,0.050968628376722336,0,0,0,PASS
25,x-0.4mz1.0m_3_20260825_132558_373,0,585,585,1.0,2394.5,0.7151470588235294,0.9108724326361409,0.9982905982905983,0.9982905982905983,0.9982905982905983,nan,0.04568283259868622,0,0,0,PASS
25,x-0.4mz1.0m_4_20260825_141800_161,0,345,345,1.0,2467.5,0.7516606280193237,0.9202979515828678,0.9971014492753624,0.9971014492753624,0.9971014492753624,nan,0.06159115210175514,0,0,0,PASS
25,x0.0mz0.8m_4_20260825_141625_493,0,382,382,1.0,4816.75,0.7186786894642708,0.8638555411690128,0.9973821989528796,0.9973821989528796,0.9973821989528796,nan,0.050189387053251266,0,0,0,PASS
25,x0.0mz0.8m_4_kyuubasyo_20260825_141945_844,0,313,313,1.0,5099.5,0.7335007173601148,0.8870827538247567,0.9968051118210862,0.9968051118210862,0.9968051118210862,nan,0.04047540947794914,0,0,0,PASS
25,x0.0mz0.8m_syahei_20260825_132109_556,0,767,767,1.0,4653.5,0.6965720022948939,0.8425203828429635,0.6597131681877445,0.6844850065189049,0.9117117117117117,1.0,0.10292782634496689,2,2,2,FAIL
25,x0.0mz1.0m_20260825_131915_200,0,530,530,1.0,3637.0,0.6482082732082732,0.8391974836563818,0.9981132075471698,0.9981132075471698,0.9981132075471698,nan,0.025104161351919174,0,0,0,PASS
25,x0.0mz1.0m_syahei_20260825_132000_690,0,655,655,1.0,3431.5,0.6447124304267161,0.829889476213359,0.6290076335877862,0.650381679389313,0.9974747474747475,1.0,0.08674372732639313,2,2,2,PASS
25,x0.0mz1.3m_syahei_20260825_132301_275,0,657,562,0.8554033485540334,2332.75,0.6853095588383482,0.8786013232739535,0.7455516014234875,0.6590563165905632,0.9973890339425587,1.0,0.05715782567858696,2,2,2,PASS
25,x0.4mz1.0m_1_20260825_132647_844,0,587,587,1.0,2255.5,0.7977967306325515,0.9357127948236277,0.9982964224872232,0.9982964224872232,0.9982964224872232,nan,0.06826619058847427,0,0,0,PASS
25,x0.4mz1.0m_2_20260825_132716_503,0,556,556,1.0,2255.5,0.8023171918520755,0.9372729381195788,0.9982014388489209,0.9982014388489209,0.9982014388489209,nan,0.0523269958794117,0,0,0,PASS
25,x0.4mz1.0m_3_20260825_132744_034,0,573,573,1.0,2247.0,0.8062770562770563,0.9373177842565598,0.9982547993019197,0.9982547993019197,0.9982547993019197,nan,0.05300501361489296,0,0,0,PASS
25,x0.4mz1.0m_4_20260825_141730_883,0,328,328,1.0,2453.75,0.7861253196930946,0.9389799102849627,0.9969512195121951,0.9969512195121951,0.9969512195121951,nan,0.11264195293188095,0,0,0,PASS
30,hakonasi_20260825_131458_522,1,853,853,1.0,1406.0,0.564484126984127,0.7957113880034773,0.0,0.0,0.0,nan,nan,0,0,0,FAIL
30,x-0.4mz1.0m_1_20260825_132457_315,0,590,590,1.0,2194.0,0.6969598647080801,0.9018253284787043,0.9915254237288136,0.9949152542372881,0.9915254237288136,nan,0.05515821650624275,0,0,0,PASS
30,x-0.4mz1.0m_2_20260825_132526_688,0,628,628,1.0,2194.5,0.6934974747474747,0.899790134331645,0.9952229299363057,0.9984076433121019,0.9952229299363057,nan,0.11066538095474243,0,0,0,PASS
30,x-0.4mz1.0m_3_20260825_132558_373,0,585,585,1.0,2185.0,0.6915584415584416,0.8987394957983194,0.9948717948717949,0.9982905982905983,0.9948717948717949,nan,0.03092842735350132,0,0,0,PASS
30,x-0.4mz1.0m_4_20260825_141800_161,0,345,345,1.0,2346.5,0.7333644278606966,0.9289320388349515,0.9971014492753624,0.9971014492753624,0.9971014492753624,nan,0.05637999251484871,0,0,0,PASS
30,x0.0mz0.8m_4_20260825_141625_493,0,382,382,1.0,4523.5,0.7282449999207594,0.8628990944746132,0.9973821989528796,0.9973821989528796,0.9973821989528796,nan,0.14205816388130188,0,0,0,PASS
30,x0.0mz0.8m_4_kyuubasyo_20260825_141945_844,0,313,313,1.0,4898.5,0.759493670886076,0.9016635859519408,0.9968051118210862,0.9968051118210862,0.9968051118210862,nan,0.011255861259996891,0,0,0,PASS
30,x0.0mz0.8m_syahei_20260825_132109_556,0,767,767,1.0,2156.0,0.38924050632911394,0.5154485668197046,0.00651890482398957,0.018252933507170794,0.0,0.9774774774774775,0.07009860873222351,2,2,0,FAIL
30,x0.0mz1.0m_20260825_131915_200,0,530,530,1.0,3398.5,0.6791247484909457,0.8576557283320503,0.9981132075471698,0.9981132075471698,0.9981132075471698,nan,0.02808014489710331,0,0,0,PASS
30,x0.0mz1.0m_syahei_20260825_132000_690,0,655,655,1.0,3110.0,0.6319960861056751,0.8134373856846726,0.6030534351145038,0.6244274809160305,0.9974747474747475,1.0,0.2682845890522003,2,2,2,PASS
30,x0.0mz1.3m_syahei_20260825_132301_275,0,657,506,0.7701674277016742,2210.25,0.6687397000229468,0.8666347164578019,0.8201581027667985,0.6529680365296804,0.9973890339425587,1.0,0.15983964502811432,2,2,2,PASS
30,x0.4mz1.0m_1_20260825_132647_844,0,587,587,1.0,2135.5,0.8155769230769231,0.9373350923482849,0.9982964224872232,0.9982964224872232,0.9982964224872232,nan,0.19556482136249542,0,0,0,PASS
30,x0.4mz1.0m_2_20260825_132716_503,0,556,556,1.0,2134.0,0.8178438228438228,0.9397565697843488,0.9982014388489209,0.9982014388489209,0.9982014388489209,nan,0.09568629413843155,0,0,0,PASS
30,x0.4mz1.0m_3_20260825_132744_034,0,573,573,1.0,2116.0,0.8182692307692307,0.9376646180860404,0.9982547993019197,0.9982547993019197,0.9982547993019197,nan,0.09126384556293488,0,0,0,PASS
30,x0.4mz1.0m_4_20260825_141730_883,0,328,328,1.0,2411.5,0.8030581550802138,0.9442328018345258,0.9969512195121951,0.9969512195121951,0.9969512195121951,nan,0.055393341928720474,0,0,0,PASS
