collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,collision_ffb_challenge_received_count,collision_ffb_challenge_age_sec,collision_ffb_challenge_session_id,collision_ffb_challenge_token,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
102,1,1,CLEAR,0,0.0,off,no_alert,,423,0.019597943999542622,7826491368805603054,33050,103,3.451945,14213.094996095,8.50343727499967
103,1,1,CLEAR,0,0.0,off,no_alert,,425,0.013914727000155835,7826491368805603054,33052,104,3.483942,14213.129291722,8.537732901999334
104,1,1,CLEAR,0,0.0,off,no_alert,,427,0.007828521000192268,7826491368805603054,33054,105,3.515539,14213.163468022,8.571909201999006
105,1,1,CLEAR,0,0.0,off,no_alert,,429,0.0022660739996354096,7826491368805603054,33056,106,3.547137,14213.197667463,8.60610864299997
106,1,1,CLEAR,0,0.0,off,no_alert,,430,0.016453673000796698,7826491368805603054,33057,107,3.579565,14213.231639222,8.640080401999512
107,1,1,CLEAR,0,0.0,off,no_alert,,432,0.00976553899999999,7826491368805603054,33059,108,3.61154,14213.265794374,8.674235553999097
108,1,1,CLEAR,0,0.0,off,no_alert,,434,0.004706248999355012,7826491368805603054,33061,109,3.644396,14213.300009721,8.708450901000106
109,1,1,CLEAR,0,0.0,off,no_alert,,435,0.01834945699920354,7826491368805603054,33062,110,3.675136,14213.333927958,8.742369137999049
110,1,1,CLEAR,0,0.0,off,no_alert,,437,0.011409925000407384,7826491368805603054,33064,111,3.707818,14213.368067995,8.776509174998864
111,1,1,CLEAR,0,0.0,off,no_alert,,439,0.006929767001565779,7826491368805603054,33066,112,3.739811,14213.40212987,8.810571050000362
112,1,1,CLEAR,0,0.0,off,no_alert,,440,0.02080818300055398,7826491368805603054,33067,113,3.772374,14213.436156123,8.844597302999318
113,1,1,CLEAR,0,0.0,off,no_alert,,442,0.014692762000777293,7826491368805603054,33069,114,3.803742,14213.470150991,8.878592170998672
