dataset_role,source,session,normalization_mode,threshold,reference_x_m,reference_z_m,reference_ground_distance_m,reference_raw_ground_distance_m,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,median_normalized_area,stable_acceptance_decision
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r02_20260818_164908_140,calibrated_ground_distance,2000.0,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,815,815,815,1.0,0,0,nan,3164.4356279236604,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r02_20260818_164908_140,calibrated_ground_distance,2503.678448310634,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,815,815,815,1.0,0,0,nan,3164.4356279236604,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r02_20260818_164908_140,raw_ground_distance,1800.0,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,815,815,815,1.0,0,0,nan,3179.2274708713207,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r02_20260818_164908_140,raw_ground_distance,2000.0,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,815,815,815,1.0,0,0,nan,3179.2274708713207,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r02_20260818_164908_140,raw_ground_distance,2503.678448310634,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,815,815,815,1.0,0,0,nan,3179.2274708713207,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r03_20260818_164956_525,forward_z,1800.0,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,878,878,878,1.0,0,0,nan,3156.9447232808325,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r03_20260818_164956_525,forward_z,2000.0,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,878,878,878,1.0,0,0,nan,3156.9447232808325,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r03_20260818_164956_525,forward_z,2503.678448310634,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,878,878,878,1.0,0,0,nan,3156.9447232808325,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r03_20260818_164956_525,calibrated_ground_distance,1800.0,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,878,878,878,1.0,0,0,nan,3158.2867945101607,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r03_20260818_164956_525,calibrated_ground_distance,2000.0,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,878,878,878,1.0,0,0,nan,3158.2867945101607,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r03_20260818_164956_525,calibrated_ground_distance,2503.678448310634,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,878,878,878,1.0,0,0,nan,3158.2867945101607,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r03_20260818_164956_525,raw_ground_distance,1800.0,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,878,878,878,1.0,0,0,nan,3173.049895341103,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r03_20260818_164956_525,raw_ground_distance,2000.0,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,878,878,878,1.0,0,0,nan,3173.049895341103,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_center_z1p00_r03_20260818_164956_525,raw_ground_distance,2503.678448310634,-0.020446470761478604,0.9916628902976083,0.9918736543330539,0.9941891594836759,878,878,878,1.0,0,0,nan,3173.049895341103,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_left_xm0p40_z1p00_r01_20260818_165339_551,forward_z,1800.0,-0.31667243988866106,0.9646488076456768,1.015297373323335,1.1209305087637207,529,529,529,1.0,0,0,nan,2106.2938635557534,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_left_xm0p40_z1p00_r01_20260818_165339_551,forward_z,2000.0,-0.31667243988866106,0.9646488076456768,1.015297373323335,1.1209305087637207,529,529,529,1.0,0,0,nan,2106.2938635557534,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_left_xm0p40_z1p00_r01_20260818_165339_551,forward_z,2503.678448310634,-0.31667243988866106,0.9646488076456768,1.015297373323335,1.1209305087637207,529,529,0,0.0,0,0,nan,2106.2938635557534,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_left_xm0p40_z1p00_r01_20260818_165339_551,calibrated_ground_distance,1800.0,-0.31667243988866106,0.9646488076456768,1.015297373323335,1.1209305087637207,529,529,529,1.0,0,0,nan,2333.280889833586,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_left_xm0p40_z1p00_r01_20260818_165339_551,calibrated_ground_distance,2000.0,-0.31667243988866106,0.9646488076456768,1.015297373323335,1.1209305087637207,529,529,529,1.0,0,0,nan,2333.280889833586,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_left_xm0p40_z1p00_r01_20260818_165339_551,calibrated_ground_distance,2503.678448310634,-0.31667243988866106,0.9646488076456768,1.015297373323335,1.1209305087637207,529,529,0,0.0,0,0,nan,2333.280889833586,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_left_xm0p40_z1p00_r01_20260818_165339_551,raw_ground_distance,1800.0,-0.31667243988866106,0.9646488076456768,1.015297373323335,1.1209305087637207,529,529,529,1.0,0,0,nan,2844.054262597854,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_left_xm0p40_z1p00_r01_20260818_165339_551,raw_ground_distance,2000.0,-0.31667243988866106,0.9646488076456768,1.015297373323335,1.1209305087637207,529,529,529,1.0,0,0,nan,2844.054262597854,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_left_xm0p40_z1p00_r01_20260818_165339_551,raw_ground_distance,2503.678448310634,-0.31667243988866106,0.9646488076456768,1.015297373323335,1.1209305087637207,529,529,529,1.0,0,0,nan,2844.054262597854,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_right_xp0p40_z1p00_r01_20260818_165227_107,forward_z,1800.0,0.3270813601855613,1.052899985579539,1.1025337164069995,1.1660423403611737,559,559,559,1.0,0,0,nan,2736.020800935214,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_right_xp0p40_z1p00_r01_20260818_165227_107,forward_z,2000.0,0.3270813601855613,1.052899985579539,1.1025337164069995,1.1660423403611737,559,559,559,1.0,0,0,nan,2736.020800935214,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_right_xp0p40_z1p00_r01_20260818_165227_107,forward_z,2503.678448310634,0.3270813601855613,1.052899985579539,1.1025337164069995,1.1660423403611737,559,559,559,1.0,0,0,nan,2736.020800935214,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_right_xp0p40_z1p00_r01_20260818_165227_107,calibrated_ground_distance,1800.0,0.3270813601855613,1.052899985579539,1.1025337164069995,1.1660423403611737,559,559,559,1.0,0,0,nan,3000.0529104695197,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_right_xp0p40_z1p00_r01_20260818_165227_107,calibrated_ground_distance,2000.0,0.3270813601855613,1.052899985579539,1.1025337164069995,1.1660423403611737,559,559,559,1.0,0,0,nan,3000.0529104695197,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_right_xp0p40_z1p00_r01_20260818_165227_107,calibrated_ground_distance,2503.678448310634,0.3270813601855613,1.052899985579539,1.1025337164069995,1.1660423403611737,559,559,559,1.0,0,0,nan,3000.0529104695197,PASS
