process_accel_std_mps2,ttc_deadband_mps,experiment_label,source,motion,nominal_speed_mps,frames,track_frames,motion_frames,stable_response_delay_sec,steady_speed_mae_mps,ttc_active_rate,false_ttc_rate
1.5,0.05,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r03_20260901_142434_429,approach,0.1,517,430,276,0.8690049999999996,0.01718665071039644,0.7536231884057971,nan
1.5,0.05,approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r01_20260901_143052_426,approach,0.2,425,261,124,0.5989390000000006,0.02105097706871586,0.9032258064516129,nan
1.5,0.05,approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r02_20260901_143130_004,approach,0.2,416,249,122,0.43571300000000024,0.01919428917698523,0.9262295081967213,nan
1.5,0.05,approach_center_v0p20_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r03_20260901_143206_639,approach,0.2,402,233,132,0.42899200000000004,0.019308599487751463,0.8863636363636364,nan
1.5,0.05,approach_center_v0p20_r04,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r04_20260901_143249_502,approach,0.2,358,243,124,0.2821720000000001,0.024658395039174868,0.9274193548387096,nan
1.5,0.05,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r01_20260901_142527_026,retreat,0.1,574,574,274,2.5667089999999995,0.007684374255934576,0.0,0.0
1.5,0.05,retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r02_20260901_142605_934,retreat,0.1,687,687,302,2.0660749999999997,0.008059700199882988,0.0,0.0
1.5,0.05,retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::retreat_center_v0p10_r03_20260901_142643_149,retreat,0.1,641,641,278,1.700755,0.007100095233858945,0.0,0.0
1.5,0.05,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r01_20260818_172025_635,approach,0.1,393,393,140,0.03996300000000019,0.009002071663100943,0.9071428571428571,nan
1.5,0.05,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r02_20260818_172100_667,approach,0.1,362,346,140,0.4771650000000003,0.011843940705478192,0.7785714285714286,nan
1.5,0.05,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::approach_center_v0p10_r03_20260818_172131_591,approach,0.1,338,338,142,0.4784960000000007,0.006869770678443066,0.9366197183098591,nan
1.5,0.05,retreat_center_v0p10_r01,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r01_20260818_172222_468,retreat,0.1,338,338,144,0.5227890000000004,0.008556552392851306,0.0,0.0
1.5,0.05,retreat_center_v0p10_r02,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r02_20260818_172256_256,retreat,0.1,312,312,138,0.594862,0.00814901602508421,0.0,0.0
1.5,0.05,retreat_center_v0p10_r03,/home/robo25/Downloads/recoding/recoding_08181725.tar.xz::retreat_center_v0p10_r03_20260818_172320_984,retreat,0.1,311,311,132,0.7200320000000002,0.00999863753413208,0.0,0.0
1.5,0.05,approach_center_v0p20_r01,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r01_20260818_173859_761,approach,0.2,362,362,126,0.4717640000000003,0.03321729274937662,0.8412698412698413,nan
1.5,0.05,approach_center_v0p20_r02,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r02_20260818_173929_852,approach,0.2,369,369,140,0.07188499999999998,0.05236071517732459,0.8214285714285714,nan
1.5,0.05,approach_center_v0p20_r03,/home/robo25/Downloads/recoding/recoding_08181740.tar.xz::approach_center_v0p20_r03_20260818_173959_164,approach,0.2,346,346,138,0.19965300000000052,0.04113124007726371,0.8260869565217391,nan
1.5,0.05,hakonasi2,/home/robo25/Downloads/recoding/202608261630.tar.xz::hakonasi2_20260826_161833_613,static,,623,0,0,nan,nan,nan,0.0
1.5,0.05,timing_hakonasi_other_floor,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_hakonasi_other_floor_20260826_162320_203,static,,675,0,0,nan,nan,nan,0.0
1.5,0.05,timing_x0.0mz1.2m,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_20260826_162000_354,static,,646,646,0,nan,nan,nan,0.0
1.5,0.05,timing_x0.0mz1.2m_shahei,/home/robo25/Downloads/recoding/202608261630.tar.xz::timing_x0.0mz1.2m_shahei_20260826_162058_939,static,,835,578,0,nan,nan,nan,0.0
1.5,0.07,approach_center_v0p10_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r01_20260901_142324_230,approach,0.1,615,606,282,1.6174879999999998,0.013721252014961959,0.5425531914893617,nan
1.5,0.07,approach_center_v0p10_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r02_20260901_142401_291,approach,0.1,536,536,282,1.9995659999999997,0.016573288549039007,0.5319148936170213,nan
1.5,0.07,approach_center_v0p10_r03,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p10_r03_20260901_142434_429,approach,0.1,517,430,276,2.7591520000000003,0.018760021018729763,0.4855072463768116,nan
1.5,0.07,approach_center_v0p20_r01,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r01_20260901_143052_426,approach,0.2,425,261,124,0.8421980000000007,0.016527432151524225,0.8467741935483871,nan
1.5,0.07,approach_center_v0p20_r02,/home/robo25/Downloads/recoding/202609011435.tar.xz::approach_center_v0p20_r02_20260901_143130_004,approach,0.2,416,249,122,0.6308590000000005,0.016060306919126868,0.8770491803278688,nan
