collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
132,1,1,PATH,0,0.0,off,no_alert,,133,4.422117,697613.047376715,5.523340248968452
133,1,1,PATH,0,0.0,off,no_alert,,134,4.451881,697613.081216013,5.557179546914995
134,1,1,PATH,0,0.0,off,no_alert,,135,4.483204,697613.11512997,5.591093503986485
135,1,1,PATH,0,0.0,off,no_alert,,136,4.521331,697613.149065666,5.625029199989513
136,1,1,PATH,0,0.0,off,no_alert,,137,4.552414,697613.182963298,5.658926832024008
137,1,1,PATH,0,0.0,off,no_alert,,138,4.584992,697613.216914074,5.6928776080021635
138,1,1,PATH,0,0.0,off,no_alert,,139,4.61941,697613.250814798,5.726778332027607
139,1,1,PATH,0,0.0,off,no_alert,,140,4.652636,697613.284751194,5.760714727919549
140,1,1,PATH,0,0.0,off,no_alert,,141,4.684984,697613.318573954,5.794537488021888
141,1,1,PATH,0,0.0,off,no_alert,,142,4.718913,697613.352490418,5.828453951980919
142,1,1,PATH,0,0.0,off,no_alert,,143,4.752587,697613.386286822,5.862250356003642
143,1,1,PATH,0,0.0,off,no_alert,,144,4.784688,697613.42005588,5.896019413950853
144,1,1,PATH,0,0.0,off,no_alert,,145,4.821066,697613.453876964,5.929840498021804
145,1,1,PATH,0,0.0,off,no_alert,,146,4.851868,697613.487678409,5.963641942944378
146,1,1,PATH,0,0.0,off,no_alert,,147,4.884709,697613.521479267,5.997442801017314
147,1,1,PATH,0,0.0,off,no_alert,,148,4.920732,697613.555316076,6.031279610004276
148,1,1,PATH,0,0.0,off,no_alert,,149,4.950777,697613.589185596,6.065149129950441
149,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,150,4.983019,697613.622977659,6.098941192962229
150,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,151,5.021335,697613.656873659,6.132837192970328
151,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,152,5.050675,697613.690944877,6.166908410959877
152,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,153,5.084081,697613.724823871,6.200787405017763
153,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,154,5.118563,697613.758884175,6.234847708954476
154,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,155,5.15002,697613.792774635,6.2687381689902395
155,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,156,5.182046,697613.826645506,6.302609039936215
156,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,157,5.218292,697613.860493774,6.336457307916135
157,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,158,5.250142,697613.894397581,6.370361114968546
