session,experiment_label,expected_motion,nominal_speed_mps,velocity_source,decision,decision_without_hold_requirement,relative_speed_mae_mps,ttc_active_rate,ttc_activation_delay_sec,false_ttc_rate,raw_warning_frames,filtered_warning_frames,warning_hold_frames,first_raw_warning_ttc_sec,first_raw_warning_z_m,reasons,reasons_without_hold_requirement
approach_center_v0p20_r03_20260903_140831_916,approach_center_v0p20_r03_20260903_140831_916,approach,0.2,visual,FAIL,FAIL,0.03408625618491711,1.0,0.36690299999999976,0.0,0,0,0,,,relative_speed_mae_mps=0.03408625618491711 > 0.030278600000000003; filtered_warning_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 4.0; first_raw_warning_ttc_sec=nan > 4.6; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15,relative_speed_mae_mps=0.03408625618491711 > 0.030278600000000003; filtered_warning_frames=0.0 < 1; first_raw_warning_ttc_sec=nan < 4.0; first_raw_warning_ttc_sec=nan > 4.6; first_raw_warning_z_m=nan < 0.65; maximum_warning_entry_delay_sec=nan > 0.15
approach_center_v0p20_r03_20260903_140831_916,approach_center_v0p20_r03_20260903_140831_916,approach,0.2,odom_static,PASS,PASS,0.0,1.0,0.0,0.0,14,12,0,4.58609731264077,0.7432,,
approach_center_v0p20_r03_20260903_140831_916,approach_center_v0p20_r03_20260903_140831_916,approach,0.2,conservative,PASS,PASS,0.0,1.0,0.0,0.0,14,12,0,4.58609731264077,0.7432,,
retreat_center_v0p10_r01_20260903_140445_028,retreat_center_v0p10_r01_20260903_140445_028,retreat,0.1,visual,PASS,PASS,0.01178631280185259,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r01_20260903_140445_028,retreat_center_v0p10_r01_20260903_140445_028,retreat,0.1,odom_static,PASS,PASS,0.0,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r01_20260903_140445_028,retreat_center_v0p10_r01_20260903_140445_028,retreat,0.1,conservative,PASS,PASS,0.011695932701909719,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r02_20260903_140557_257,retreat_center_v0p10_r02_20260903_140557_257,retreat,0.1,visual,PASS,PASS,0.013112271518793026,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r02_20260903_140557_257,retreat_center_v0p10_r02_20260903_140557_257,retreat,0.1,odom_static,PASS,PASS,0.0,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r02_20260903_140557_257,retreat_center_v0p10_r02_20260903_140557_257,retreat,0.1,conservative,PASS,PASS,0.01300467322023636,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r03_20260903_140638_925,retreat_center_v0p10_r03_20260903_140638_925,retreat,0.1,visual,PASS,PASS,0.012536979037559183,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r03_20260903_140638_925,retreat_center_v0p10_r03_20260903_140638_925,retreat,0.1,odom_static,PASS,PASS,0.0,nan,nan,0.0,0,0,0,,,,
retreat_center_v0p10_r03_20260903_140638_925,retreat_center_v0p10_r03_20260903_140638_925,retreat,0.1,conservative,PASS,PASS,0.012371268053786109,nan,nan,0.0,0,0,0,,,,
