topic,bag_time_jst,header_time_jst,sequence,linear_x_mps,risk_level,active,output_mode,action,output_active,requested_magnitude,applied_magnitude,fault,reason
/collision/ffb_command,2026-09-17T16:10:06.188+09:00,2026-09-17T16:10:06.208+09:00,4709,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.229+09:00,2026-09-17T16:10:06.246+09:00,4710,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.261+09:00,2026-09-17T16:10:06.280+09:00,4711,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.314+09:00,2026-09-17T16:10:06.312+09:00,4712,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.330+09:00,2026-09-17T16:10:06.350+09:00,4713,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.366+09:00,2026-09-17T16:10:06.381+09:00,4714,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.395+09:00,2026-09-17T16:10:06.410+09:00,4715,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.418+09:00,2026-09-17T16:10:06.438+09:00,4716,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.462+09:00,2026-09-17T16:10:06.483+09:00,4717,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.484+09:00,2026-09-17T16:10:06.504+09:00,4718,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.521+09:00,2026-09-17T16:10:06.541+09:00,4719,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.554+09:00,2026-09-17T16:10:06.575+09:00,4720,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.632+09:00,2026-09-17T16:10:06.646+09:00,4721,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.694+09:00,2026-09-17T16:10:06.715+09:00,4722,,0,False,,,,0.0,,,no_alert
/collision/ffb_command,2026-09-17T16:10:06.717+09:00,2026-09-17T16:10:06.738+09:00,4723,,0,False,,,,0.0,,,no_alert
