collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
82,1,1,CLEAR,0,0.0,off,no_alert,,83,2.767469,5738.024155777,7.850231355999313
83,1,1,CLEAR,0,0.0,off,no_alert,,84,2.799133,5738.058554792,7.88463037099973
84,1,1,CLEAR,0,0.0,off,no_alert,,85,2.831425,5738.092967924,7.919043502999557
85,1,1,CLEAR,0,0.0,off,no_alert,,86,2.864587,5738.127483061,7.9535586399997555
86,1,1,CLEAR,0,0.0,off,no_alert,,87,2.896598,5738.161818189,7.987893767999594
87,1,1,CLEAR,0,0.0,off,no_alert,,88,2.933482,5738.196178033,8.022253611999986
88,1,1,CLEAR,0,0.0,off,no_alert,,89,2.974012,5738.230409314,8.056484892999833
89,1,1,CLEAR,0,0.0,off,no_alert,,90,3.003157,5738.264935707,8.091011286000139
90,1,1,CLEAR,0,0.0,off,no_alert,,91,3.035557,5738.299565509,8.125641087999611
91,1,1,CLEAR,0,0.0,off,no_alert,,92,3.064075,5738.334532472,8.160608051000054
92,1,1,CLEAR,0,0.0,off,no_alert,,93,3.09349,5738.36956063,8.195636208999531
93,1,1,CLEAR,0,0.0,off,no_alert,,94,3.123785,5738.404443476,8.230519054999604
94,1,1,CLEAR,0,0.0,off,no_alert,,95,3.154721,5738.439302209,8.265377787999569
95,1,1,CLEAR,0,0.0,off,no_alert,,96,3.186859,5738.473614575,8.299690154000018
96,1,1,CLEAR,0,0.0,off,no_alert,,97,3.222627,5738.508143998,8.334219577000113
97,1,1,CLEAR,0,0.0,off,no_alert,,98,3.255596,5738.542264736,8.368340314999841
98,1,1,CLEAR,0,0.0,off,no_alert,,99,3.289027,5738.57634825,8.402423828999417
99,1,1,CLEAR,0,0.0,off,no_alert,,100,3.322757,5738.610360095,8.436435673999767
100,1,1,CLEAR,0,0.0,off,no_alert,,101,3.354819,5738.64432945,8.470405029000176
101,1,1,CLEAR,0,0.0,off,no_alert,,102,3.386817,5738.678296525,8.50437210400014
102,1,1,CLEAR,0,0.0,off,no_alert,,103,3.423015,5738.712302887,8.538378465999813
103,1,1,CLEAR,0,0.0,off,no_alert,,104,3.455126,5738.74687603,8.572951608999574
104,1,1,CLEAR,0,0.0,off,no_alert,,105,3.491517,5738.781126415,8.607201993999297
105,1,1,CLEAR,0,0.0,off,no_alert,,106,3.524657,5738.815332177,8.641407755999353
106,1,1,CLEAR,0,0.0,off,no_alert,,107,3.555813,5738.849260527,8.675336106000032
107,1,1,CLEAR,0,0.0,off,no_alert,,108,3.59816,5738.883429772,8.709505351000189
108,1,1,CLEAR,0,0.0,off,no_alert,,109,3.627998,5738.917584317,8.743659895999372
109,1,1,CLEAR,0,0.0,off,no_alert,,110,3.658544,5738.952160486,8.778236064999874
110,1,1,CLEAR,0,0.0,off,no_alert,,111,3.692646,5738.986707492,8.812783071000013
111,1,1,CLEAR,0,0.0,off,no_alert,,112,3.72807,5739.021750863,8.847826442000041
112,1,1,CLEAR,0,0.0,off,no_alert,,113,3.757562,5739.056152285,8.882227864000015
113,1,1,CLEAR,0,0.0,off,no_alert,,114,3.788669,5739.090396131,8.916471709999314
114,1,1,CLEAR,0,0.0,off,no_alert,,115,3.825216,5739.124950017,8.951025595999454
115,1,1,CLEAR,0,0.0,off,no_alert,,116,3.856077,5739.159353478,8.985429057000147
116,1,1,CLEAR,0,0.0,off,no_alert,,117,3.887376,5739.193443088,9.01951866699983
117,1,1,CLEAR,0,0.0,off,no_alert,,118,3.923307,5739.227599435,9.053675013999964
118,1,1,CLEAR,0,0.0,off,no_alert,,119,3.95552,5739.261800935,9.087876513999618
119,1,1,CLEAR,0,0.0,off,no_alert,,120,3.986656,5739.295968478,9.122044056999584
120,1,1,CLEAR,0,0.0,off,no_alert,,121,4.027764,5739.329999958,9.156075537000106
121,1,1,CLEAR,0,0.0,off,no_alert,,122,4.065951,5739.364292575,9.19036815399977
122,1,1,CLEAR,0,0.0,off,no_alert,,123,4.100072,5739.398593124,9.224668703000134
123,1,1,CLEAR,0,0.0,off,no_alert,,124,4.133241,5739.433299429,9.259375007999552
124,1,1,CLEAR,0,0.0,off,no_alert,,125,4.174611,5739.467850977,9.29392655599986
125,1,1,CLEAR,0,0.0,off,no_alert,,126,4.202395,5739.502523854,9.328599432999908
126,1,1,CLEAR,0,0.0,off,no_alert,,127,4.238705,5739.536964534,9.363040112999442
