collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
110,1,1,CLEAR,0,0.0,off,no_alert,,111,3.688621,7984.376675414,8.76534323299984
111,1,1,CLEAR,0,0.0,off,no_alert,,112,3.719377,7984.41061332,8.799281139000414
112,1,1,CLEAR,0,0.0,off,no_alert,,113,3.753332,7984.444521476,8.833189295000011
113,1,1,CLEAR,0,0.0,off,no_alert,,114,3.786867,7984.478593251,8.867261070000495
114,1,1,CLEAR,0,0.0,off,no_alert,,115,3.819494,7984.512481182,8.901149000999794
115,1,1,CLEAR,0,0.0,off,no_alert,,116,3.852785,7984.546503772,8.935171590999744
116,1,1,CLEAR,0,0.0,off,no_alert,,117,3.887,7984.580483092,8.969150910999815
117,1,1,CLEAR,0,0.0,off,no_alert,,118,3.919381,7984.614255911,9.002923730000475
118,1,1,CLEAR,0,0.0,off,no_alert,,119,3.952761,7984.647947473,9.036615292000533
119,1,1,CLEAR,0,0.0,off,no_alert,,120,3.986352,7984.68171036,9.070378178999817
120,1,1,CLEAR,0,0.0,off,no_alert,,121,4.019643,7984.716066806,9.104734624999764
121,1,1,CLEAR,0,0.0,off,no_alert,,122,4.05281,7984.75037007,9.139037889000065
122,1,1,CLEAR,0,0.0,off,no_alert,,123,4.087427,7984.784635014,9.17330283299998
123,1,1,CLEAR,0,0.0,off,no_alert,,124,4.119652,7984.818929435,9.207597254000575
124,1,1,CLEAR,0,0.0,off,no_alert,,125,4.153092,7984.853235376,9.241903195000305
125,1,1,CLEAR,0,0.0,off,no_alert,,126,4.186461,7984.887389319,9.276057138000397
126,1,1,CLEAR,0,0.0,off,no_alert,,127,4.219478,7984.921410232,9.310078051000346
127,1,1,CLEAR,0,0.0,off,no_alert,,128,4.253594,7984.955243839,9.343911658000252
128,1,1,CLEAR,0,0.0,off,no_alert,,129,4.286118,7984.989197258,9.377865077000024
129,1,1,CLEAR,0,0.0,off,no_alert,,130,4.320316,7985.023188479,9.411856298000203
130,1,1,CLEAR,0,0.0,off,no_alert,,131,4.353154,7985.057144696,9.445812515000398
131,1,1,CLEAR,0,0.0,off,no_alert,,132,4.386339,7985.091102183,9.479770001999896
132,1,1,CLEAR,0,0.0,off,no_alert,,133,4.420126,7985.125102624,9.513770442999885
133,1,1,CLEAR,0,0.0,off,no_alert,,134,4.452767,7985.158755979,9.547423797999727
134,1,1,CLEAR,0,0.0,off,no_alert,,135,4.486773,7985.192644195,9.581312014000105
135,1,1,CLEAR,0,0.0,off,no_alert,,136,4.519402,7985.226658786,9.615326605000519
136,1,1,CLEAR,0,0.0,off,no_alert,,137,4.553078,7985.260564108,9.649231927000073
137,1,1,CLEAR,0,0.0,off,no_alert,,138,4.586281,7985.294605555,9.683273374000237
138,1,1,CLEAR,0,0.0,off,no_alert,,139,4.619295,7985.328659994,9.717327813000338
139,1,1,CLEAR,0,0.0,off,no_alert,,140,4.653062,7985.362643956,9.751311775000431
140,1,1,CLEAR,0,0.0,off,no_alert,,141,4.686802,7985.396598414,9.785266233000584
141,1,1,CLEAR,0,0.0,off,no_alert,,142,4.720241,7985.43067748,9.819345298999906
142,1,1,CLEAR,0,0.0,off,no_alert,,143,4.75312,7985.464700174,9.853367993000575
143,1,1,CLEAR,0,0.0,off,no_alert,,144,4.786429,7985.498643346,9.887311165000028
144,1,1,CLEAR,0,0.0,off,no_alert,,145,4.819474,7985.532621435,9.92128925399993
145,1,1,CLEAR,0,0.0,off,no_alert,,146,4.852928,7985.566654076,9.955321895000452
146,1,1,CLEAR,0,0.0,off,no_alert,,147,4.886388,7985.600511368,9.989179187000445
147,1,1,CLEAR,0,0.0,off,no_alert,,148,4.919706,7985.634605782,10.023273601000255
148,1,1,CLEAR,0,0.0,off,no_alert,,149,4.953512,7985.668666101,10.05733392000002
149,1,1,CLEAR,0,0.0,off,no_alert,,150,4.98614,7985.70256222,10.091230039000038
150,1,1,CLEAR,0,0.0,off,no_alert,,151,5.019476,7985.736482896,10.125150715000018
151,1,1,CLEAR,0,0.0,off,no_alert,,152,5.053096,7985.770613672,10.159281491000002
152,1,1,CLEAR,0,0.0,off,no_alert,,153,5.086057,7985.804728091,10.193395909999708
153,1,1,CLEAR,0,0.0,off,no_alert,,154,5.120268,7985.838935294,10.227603113000441
154,1,1,CLEAR,0,0.0,off,no_alert,,155,5.153242,7985.873329383,10.261997202000202
155,1,1,CLEAR,0,0.0,off,no_alert,,156,5.185613,7985.90739426,10.296062078999967
156,1,1,CLEAR,0,0.0,off,no_alert,,157,5.219015,7985.941350981,10.330018800000289
157,1,1,CLEAR,0,0.0,off,no_alert,,158,5.252635,7985.975425283,10.36409310199997
158,1,1,CLEAR,0,0.0,off,no_alert,,159,5.285818,7986.00935965,10.398027469000226
159,1,1,CLEAR,0,0.0,off,no_alert,,160,5.318981,7986.043618772,10.432286590999865
160,1,1,CLEAR,0,0.0,off,no_alert,,161,5.353345,7986.077762059,10.466429877999872
161,1,1,CLEAR,0,0.0,off,no_alert,,162,5.386035,7986.111870155,10.500537974000508
162,1,1,CLEAR,0,0.0,off,no_alert,,163,5.419127,7986.14583955,10.534507369000494
163,1,1,CLEAR,0,0.0,off,no_alert,,164,5.452665,7986.179788371,10.568456189999779
164,1,1,CLEAR,0,0.0,off,no_alert,,165,5.486025,7986.213878504,10.602546322999842
165,1,1,CLEAR,0,0.0,off,no_alert,,166,5.519017,7986.247862295,10.63653011400038
166,1,1,CLEAR,0,0.0,off,no_alert,,167,5.55227,7986.28170194,10.670369759000096
167,1,1,CLEAR,0,0.0,off,no_alert,,168,5.585738,7986.315823149,10.704490967999845
168,1,1,CLEAR,0,0.0,off,no_alert,,169,5.61922,7986.349928393,10.73859621199972
169,1,1,CLEAR,0,0.0,off,no_alert,,170,5.652407,7986.383895278,10.772563096999875
170,1,1,CLEAR,0,0.0,off,no_alert,,171,5.686405,7986.417981505,10.806649324000318
171,1,1,CLEAR,0,0.0,off,no_alert,,172,5.719274,7986.452309961,10.840977779999776
172,1,1,CLEAR,0,0.0,off,no_alert,,173,5.753175,7986.486475787,10.875143606000165
173,1,1,CLEAR,0,0.0,off,no_alert,,174,5.786176,7986.520647369,10.90931518799971
174,1,1,CLEAR,0,0.0,off,no_alert,,175,5.819007,7986.554641536,10.943309355000565
175,1,1,CLEAR,0,0.0,off,no_alert,,176,5.852272,7986.588422577,10.977090395999767
176,1,1,CLEAR,0,0.0,off,no_alert,,177,5.885519,7986.622451374,11.011119193000013
177,1,1,CLEAR,0,0.0,off,no_alert,,178,5.918848,7986.656393479,11.045061298000292
178,1,1,CLEAR,0,0.0,off,no_alert,,179,5.953055,7986.690287054,11.07895487299993
179,1,1,CLEAR,0,0.0,off,no_alert,,180,5.985891,7986.724194537,11.112862355999823
180,1,1,CLEAR,0,0.0,off,no_alert,,181,6.019382,7986.758043393,11.1467112119999
181,1,1,CLEAR,0,0.0,off,no_alert,,182,6.052556,7986.791781983,11.180449802000112
182,1,1,CLEAR,0,0.0,off,no_alert,,183,6.085489,7986.825686265,11.214354083999751
183,1,1,CLEAR,0,0.0,off,no_alert,,184,6.119048,7986.859745497,11.248413316000551
184,1,1,CLEAR,0,0.0,off,no_alert,,185,6.152205,7986.893881434,11.28254925300007
185,1,1,CLEAR,0,0.0,off,no_alert,,186,6.185763,7986.92760843,11.316276249000111
186,1,1,CLEAR,0,0.0,off,no_alert,,187,6.21898,7986.96167715,11.350344968999707
187,1,1,CLEAR,0,0.0,off,no_alert,,188,6.25234,7986.995781719,11.384449537999899
188,1,1,CLEAR,0,0.0,off,no_alert,,189,6.287533,7987.029923976,11.418591794999884
189,1,1,CLEAR,0,0.0,off,no_alert,,190,6.321197,7987.063954873,11.45262269199975
190,1,1,CLEAR,0,0.0,off,no_alert,,191,6.353313,7987.098013301,11.486681119999957
191,1,1,CLEAR,0,0.0,off,no_alert,,192,6.3863,7987.132150713,11.520818531999794
192,1,1,CLEAR,0,0.0,off,no_alert,,193,6.41935,7987.165997037,11.554664856000272
193,1,1,CLEAR,0,0.0,off,no_alert,,194,6.452982,7987.200128562,11.588796381000066
194,1,1,CLEAR,0,0.0,off,no_alert,,195,6.485591,7987.234056307,11.622724126000321
195,1,1,CLEAR,0,0.0,off,no_alert,,196,6.519202,7987.268109585,11.656777404000422
196,1,1,CLEAR,0,0.0,off,no_alert,,197,6.555076,7987.302257078,11.690924897000514
197,1,1,CLEAR,0,0.0,off,no_alert,,198,6.586487,7987.336076685,11.724744504000228
198,1,1,CLEAR,0,0.0,off,no_alert,,199,6.619215,7987.369819697,11.75848751600006
199,1,1,CLEAR,0,0.0,off,no_alert,,200,6.653581,7987.403802928,11.792470747000152
200,1,1,CLEAR,0,0.0,off,no_alert,,201,6.685517,7987.438186338,11.826854157000525
201,1,1,CLEAR,0,0.0,off,no_alert,,202,6.719313,7987.47238388,11.8610516990002
202,1,1,CLEAR,0,0.0,off,no_alert,,203,6.752619,7987.506550314,11.895218133000526
203,1,1,CLEAR,0,0.0,off,no_alert,,204,6.785497,7987.540503113,11.929170932000488
204,1,1,CLEAR,0,0.0,off,no_alert,,205,6.819398,7987.574478948,11.96314676700058
205,1,1,CLEAR,0,0.0,off,no_alert,,206,6.852402,7987.608756904,11.997424723000222
206,1,1,CLEAR,0,0.0,off,no_alert,,207,6.886672,7987.64309512,12.031762939000146
207,1,1,CLEAR,0,0.0,off,no_alert,,208,6.919346,7987.677302436,12.065970255000138
208,1,1,CLEAR,0,0.0,off,no_alert,,209,6.952661,7987.711364471,12.100032289999945
209,1,1,CLEAR,0,0.0,off,no_alert,,210,6.98619,7987.745200147,12.133867966000253
210,1,1,CLEAR,0,0.0,off,no_alert,,211,7.019095,7987.779237809,12.167905627999971
211,1,1,CLEAR,0,0.0,off,no_alert,,212,7.052596,7987.813178169,12.20184598800006
212,1,1,CLEAR,0,0.0,off,no_alert,,213,7.086257,7987.84712896,12.235796779000339
213,1,1,CLEAR,0,0.0,off,no_alert,,214,7.120355,7987.88102383,12.269691649000379
214,1,1,CLEAR,0,0.0,off,no_alert,,215,7.155118,7987.914814782,12.303482600999814
215,1,1,CLEAR,0,0.0,off,no_alert,,216,7.186848,7987.948798221,12.337466040000436
216,1,1,CLEAR,0,0.0,off,no_alert,,217,7.219585,7987.982737721,12.371405540000524
217,1,1,CLEAR,0,0.0,off,no_alert,,218,7.253316,7988.016679779,12.405347597999935
218,1,1,CLEAR,0,0.0,off,no_alert,,219,7.288043,7988.050693875,12.439361694000581
219,1,1,CLEAR,0,0.0,off,no_alert,,220,7.319336,7988.085101858,12.473769676999837
220,1,1,CLEAR,0,0.0,off,no_alert,,221,7.354003,7988.119100419,12.507768237999699
221,1,1,CLEAR,0,0.0,off,no_alert,,222,7.387416,7988.153187314,12.541855133000354
222,1,1,CLEAR,0,0.0,off,no_alert,,223,7.420426,7988.187028617,12.575696435999816
223,1,1,CLEAR,0,0.0,off,no_alert,,224,7.454368,7988.220939656,12.609607475000303
