collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
84,1,1,CLEAR,0,0.0,off,no_alert,,85,2.870305,7991.360480068,7.890532407999672
85,1,1,CLEAR,0,0.0,off,no_alert,,86,2.905906,7991.394280604,7.9243329440005255
86,1,1,CLEAR,0,0.0,off,no_alert,,87,2.937095,7991.428369908,7.958422247999806
87,1,1,CLEAR,0,0.0,off,no_alert,,88,2.972032,7991.46268814,7.992740480000066
88,1,1,CLEAR,0,0.0,off,no_alert,,89,3.003244,7991.496881116,8.026933455999824
89,1,1,CLEAR,0,0.0,off,no_alert,,90,3.034922,7991.530682459,8.060734798999874
90,1,1,CLEAR,0,0.0,off,no_alert,,91,3.068244,7991.564748037,8.094800376999956
91,1,1,CLEAR,0,0.0,off,no_alert,,92,3.101282,7991.599058202,8.12911054200049
92,1,1,CLEAR,0,0.0,off,no_alert,,93,3.132699,7991.633252809,8.163305148999825
93,1,1,CLEAR,0,0.0,off,no_alert,,94,3.165211,7991.667505056,8.197557395999866
94,1,1,CLEAR,0,0.0,off,no_alert,,95,3.196506,7991.701701783,8.231754123000428
95,1,1,CLEAR,0,0.0,off,no_alert,,96,3.228176,7991.735859811,8.26591215100052
96,1,1,CLEAR,0,0.0,off,no_alert,,97,3.260086,7991.770149971,8.300202311000248
97,1,1,CLEAR,0,0.0,off,no_alert,,98,3.292183,7991.804324893,8.334377232999941
98,1,1,CLEAR,0,0.0,off,no_alert,,99,3.325217,7991.838562303,8.368614643
99,1,1,CLEAR,0,0.0,off,no_alert,,100,3.358395,7991.872886739,8.402939079000134
100,1,1,CLEAR,0,0.0,off,no_alert,,101,3.386868,7991.906985355,8.437037695000072
101,1,1,CLEAR,0,0.0,off,no_alert,,102,3.418931,7991.940844372,8.470896712000467
102,1,1,CLEAR,0,0.0,off,no_alert,,103,3.451945,7991.974617543,8.504669883000133
103,1,1,CLEAR,0,0.0,off,no_alert,,104,3.483942,7992.008692227,8.538744567000322
104,1,1,CLEAR,0,0.0,off,no_alert,,105,3.515539,7992.042806899,8.572859239000536
105,1,1,CLEAR,0,0.0,off,no_alert,,106,3.547137,7992.076921024,8.606973363999714
106,1,1,CLEAR,0,0.0,off,no_alert,,107,3.579565,7992.111299729,8.641352069000277
107,1,1,CLEAR,0,0.0,off,no_alert,,108,3.61154,7992.145494497,8.675546837000184
108,1,1,CLEAR,0,0.0,off,no_alert,,109,3.644396,7992.17964772,8.709700059999705
109,1,1,CLEAR,0,0.0,off,no_alert,,110,3.675136,7992.214081676,8.744134016000316
110,1,1,CLEAR,0,0.0,off,no_alert,,111,3.707818,7992.248203694,8.778256034000151
111,1,1,CLEAR,0,0.0,off,no_alert,,112,3.739811,7992.282473862,8.8125262020003
112,1,1,CLEAR,0,0.0,off,no_alert,,113,3.772374,7992.316891788,8.84694412800036
113,1,1,CLEAR,0,0.0,off,no_alert,,114,3.803742,7992.351514695,8.881567035000444
114,1,1,CLEAR,0,0.0,off,no_alert,,115,3.837338,7992.386065424,8.916117763999864
115,1,1,CLEAR,0,0.0,off,no_alert,,116,3.866533,7992.420470727,8.950523067000177
116,1,1,PATH,0,0.0,off,no_alert,,117,3.900267,7992.454658856,8.984711195999807
117,1,1,PATH,0,0.0,off,no_alert,,118,3.931367,7992.488534442,9.018586782000057
118,1,1,CLEAR,0,0.0,off,no_alert,,119,3.96591,7992.522567182,9.052619521999986
119,1,1,CLEAR,0,0.0,off,no_alert,,120,3.995925,7992.556638246,9.086690586000259
120,1,1,PATH,0,0.0,off,no_alert,,121,4.029018,7992.590772705,9.120825044999947
121,1,1,PATH,0,0.0,off,no_alert,,122,4.059481,7992.624858851,9.154911190999883
122,1,1,CLEAR,0,0.0,off,no_alert,,123,4.089619,7992.658967554,9.189019894000012
123,1,1,CLEAR,0,0.0,off,no_alert,,124,4.12277,7992.69311558,9.223167920000378
124,1,1,PATH,0,0.0,off,no_alert,,125,4.154366,7992.727215466,9.257267806000527
125,1,1,PATH,0,0.0,off,no_alert,,126,4.188115,7992.761111877,9.291164217000187
126,1,1,PATH,0,0.0,off,no_alert,,127,4.22127,7992.795210185,9.325262524999744
